valid, idx, real, imag
1,           1,  -9242,  -3119
1,           2,  -8338,  -5243
1,           3,  -6853,  -7010
1,           0,  -5081,  -8502
1,           1,  -2945,  -9412
1,           2,   -671,  -9935
1,           3,   1658,  -9770
1,           0,   3934,  -9206
1,           1,   5947,  -7999
1,           2,   7726,  -6449
1,           3,   8974,  -4447
1,           0,   9865,  -2250
1,           1,  10073,    114
1,           2,   9861,   2488
1,           3,   8966,   4697
1,           0,   7695,   6734
1,           1,   5886,   8306
1,           2,   3818,   9542
1,           3,   1479,  10121
1,           0,   -937,  10290
1,           1,  -3297,   9744
1,           2,  -5535,   8787
1,           3,  -7397,   7219
1,           0,  -8969,   5344
1,           1,  -9924,   3087
1,           2, -10470,    692
1,           3, -10292,  -1764
1,           0,  -9693,  -4158
1,           1,  -8418,  -6276
1,           2,  -6782,  -8146
1,           3,  -4672,  -9456
1,           0,  -2356, -10390
1,           1,    131, -10603
1,           2,   2630, -10376
1,           3,   4954,  -9430
1,           0,   7087,  -8094
1,           1,   8739,  -6189
1,           2,  10036,  -4013
1,           3,  10642,  -1553
1,           0,  10818,    987
1,           1,  10239,   3472
1,           2,   9232,   5819
1,           3,   7579,   7776
1,           0,   5607,   9425
